Date,Affected pages
2026-04-24,50
2026-04-25,50
2026-04-26,50
2026-04-27,50
2026-04-28,50
2026-04-29,50
2026-04-30,50
2026-05-01,50
2026-05-02,50
2026-05-03,50
2026-05-04,50
2026-05-05,50
2026-05-06,50
2026-05-07,50
2026-05-08,50
2026-05-09,50
2026-05-10,50
2026-05-11,50
2026-05-12,50
2026-05-13,50
2026-05-14,50
2026-05-15,50
2026-05-16,50
2026-05-17,50
2026-05-18,50
2026-05-19,49
2026-05-20,49
2026-05-21,49
2026-05-22,49
2026-05-23,49
2026-05-24,49
2026-05-25,49
2026-05-26,48
2026-05-27,48
2026-05-28,48
2026-05-29,48
2026-05-30,62
2026-05-31,62
2026-06-01,62
2026-06-02,60
2026-06-03,60
2026-06-04,60
2026-06-05,60
2026-06-06,60
2026-06-07,60
2026-06-08,60
2026-06-09,58
2026-06-10,58
2026-06-11,58
2026-06-12,58
2026-06-13,51
2026-06-14,51
2026-06-15,51
2026-06-16,51
2026-06-17,51
2026-06-18,51
2026-06-19,51
2026-06-20,51
2026-06-21,51
2026-06-22,51
2026-06-23,51
2026-06-24,51
2026-06-25,51
2026-06-26,51
2026-06-27,51
2026-06-28,51
2026-06-29,51
2026-06-30,51
2026-07-01,52
2026-07-02,52
2026-07-03,52
2026-07-04,52
2026-07-05,52
2026-07-06,52
2026-07-07,52
2026-07-08,52
2026-07-09,52
2026-07-10,52
