[2026-03-09T07:05:37.707Z] REMOVED: Zalando | Backend Software Engineer (all genders) | https://jobs.zalando.com/en/jobs/2722288 | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Zalando | Senior Software Engineer - Tracking Data Collection (all genders) | https://jobs.zalando.com/en/jobs/2719146-Senior-Software-Engineer-(All-Genders) | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Zalando | Fullstack Software Engineer - Fulfillment Offering (all genders) | https://jobs.zalando.com/en/jobs/2720839-Fullstack-Software-Engineer--Fulfillment-Offering- | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: HelloFresh | Senior Backend Engineer - Golang (m/f/x) | https://careers.hellofresh.com/global/en/job/7364459/Senior-Backend-Engineer-m-f-x | HTTP 410
[2026-03-09T07:05:37.708Z] REMOVED: SumUp | Senior Android Engineer | https://www.sumup.com/careers/positions/berlin-germany/ | HTTP 410
[2026-03-09T07:05:37.708Z] REMOVED: Mollie | Senior Software Engineer | https://jobs.mollie.com/vacancies/senior-engineer-ams | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Revolut | Senior Software Engineer (Java) - Credit | https://www.revolut.com/en-US/careers/position/software-engineer-java-credit-relocation-to-poland-portugal-or-spain-3525fff0-8787-4868-9d35-92ea79892a1a/ | HTTP 403
[2026-03-09T07:05:37.708Z] REMOVED: Revolut | Backend Software Engineer (Python) | https://www.revolut.com/careers/ | HTTP 403
[2026-03-09T07:05:37.708Z] REMOVED: Revolut | Frontend Engineer (React) | https://www.revolut.com/careers/ | HTTP 403
[2026-03-09T07:05:37.708Z] REMOVED: Spotify | iOS Engineer - Data Platform | https://jobs.lever.co/spotify/66a0724e-5a1c-47a0-80ed-e59c4ce378e6 | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Datadog | Software Engineer - Backend Generalist | https://careers.datadoghq.com/detail/4825718/ | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Datadog | Software Engineer - Early Career | https://careers.datadoghq.com/detail/6370952/ | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Canva | Staff Software Engineer - Canva AI | https://www.lifeatcanva.com/en/jobs/ | HTTP 403
[2026-03-09T07:05:37.708Z] REMOVED: Canva | Senior Frontend Software Engineer | https://www.lifeatcanva.com/en/jobs/ | HTTP 403
[2026-03-09T07:05:37.708Z] REMOVED: Canva | Senior Software Engineer - Product & Features (Java) | https://www.lifeatcanva.com/en/jobs/6000000000549788/senior-software-engineer-product-features-java-open-to-remote-across-anz/ | HTTP 403
[2026-03-09T07:05:37.708Z] REMOVED: Canva | Senior/Staff Machine Learning Engineer - Search | https://www.lifeatcanva.com/en/jobs/ | HTTP 403
[2026-03-09T07:05:37.708Z] REMOVED: Revolut | Software Engineer (Java) - Credit | https://www.revolut.com/en-US/careers/position/software-engineer-java-credit-relocation-to-poland-portugal-or-spain-3525fff0-8787-4868-9d35-92ea79892a1a/ | HTTP 403
[2026-03-09T07:05:37.708Z] REMOVED: Revolut | Backend Engineer - Payments (Relocation) | https://www.revolut.com/careers/ | HTTP 403
[2026-03-09T07:05:37.708Z] REMOVED: Speakap | Experienced Frontend Developer | https://jobs.speakap.com/o/frontend-developer | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: N26 | Finance Business Partner - Investments | https://n26.com/en-eu/careers/positions/6683900 | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: N26 | Backend Engineer - Memberships | https://n26.com/en-eu/careers/positions/6744192 | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Mistral AI | Software Engineer, Back-end - Palo Alto | https://jobs.lever.co/mistral/ef2d793d-fe94-4707-9535-b662c5a8c59c | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Mistral AI | Senior Software Engineer, Billing - Paris | https://jobs.lever.co/mistral/e1a37c33-fdec-41cf-bb92-35646e283fa8 | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Mistral AI | Research Engineer - Palo Alto | https://jobs.lever.co/mistral/3db45045-b1a5-4c5d-9608-0aa7fb66f2df | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Mistral AI | AI Solution Architect, USA | https://jobs.lever.co/mistral/b5b565a0-533a-43c3-b232-114138422cb0 | HTTP 404
[2026-03-09T07:05:37.708Z] REMOVED: Recharge | Senior Fullstack Engineer | https://company.recharge.com/vacancies/senior-fullstack-engineer-1/?_gl=1*1p1rqzo*_up*MQ..*_ga*MjAxMjY0MjAzNi4xNzQwNzM1NTI4*_ga_83PT6B4VYV*MTc0MDczNTUyNi4xLjAuMTc0MDczNTUyNi4wLjAuMA.. | HTTP 404
[2026-03-09T07:05:37.709Z] REMOVED: Recharge | Senior Business Analyst | https://company.recharge.com/vacancies/senior-business-analyst/?_gl=1*1p1rqzo*_up*MQ..*_ga*MjAxMjY0MjAzNi4xNzQwNzM1NTI4*_ga_83PT6B4VYV*MTc0MDczNTUyNi4xLjAuMTc0MDczNTUyNi4wLjAuMA.. | HTTP 404
[2026-03-09T07:05:37.709Z] REMOVED: Recharge | Marketing Automation Engineer | https://company.recharge.com/vacancies/lead-marketing-automation/?_gl=1*1p1rqzo*_up*MQ..*_ga*MjAxMjY0MjAzNi4xNzQwNzM1NTI4*_ga_83PT6B4VYV*MTc0MDczNTUyNi4xLjAuMTc0MDczNTUyNi4wLjAuMA.. | HTTP 404
[2026-03-09T07:05:37.709Z] REMOVED: Recharge | Staff Software Engineer | https://company.recharge.com/vacancies/staff-software-engineer-2/?_gl=1*1w7pzb*_up*MQ..*_ga*MjAxMjY0MjAzNi4xNzQwNzM1NTI4*_ga_83PT6B4VYV*MTc0MDczNTUyNi4xLjAuMTc0MDczNTUyNi4wLjAuMA.. | HTTP 404
[2026-03-09T07:05:37.709Z] REMOVED: Mistral AI | Software Engineer, Billing | https://jobs.lever.co/mistral/e1a37c33-fdec-41cf-bb92-35646e283fa8 | HTTP 404
[2026-03-09T07:05:37.709Z] REMOVED: Zalando | Software Engineer - Core Logistics Abilities | https://jobs.zalando.com/en/jobs/2717241 | HTTP 404
[2026-03-11T22:32:16.149Z] REMOVED: Snyk | Senior Software Engineer | https://snyk.io/careers/engineering/ | HTTP 404
[2026-03-11T22:32:16.150Z] REMOVED: Revolut | Software Engineer (Java) - Credit | https://www.revolut.com/careers/engineering/ | HTTP 403
[2026-03-11T22:32:16.150Z] REMOVED: Revolut | Senior Software Engineer (DevOps) - Observability Platform | https://www.revolut.com/careers/engineering/ | HTTP 403
